N	Gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
9.124	Hit	ªm+di	ªti	ÁÁdi	££ddiq	ÁÁdi	ÁÁty	ÁÁty	£Áti	Át·
247.554	Hole			ÁÁx¿q	££hovq	ÁÁx¿q	°°khu	°°khu
123.345	Horn	Ákro	ÁÁkhrui, Ákhyui	££tjhÙo	££kyul	££khÙu	°°khy	°°khi		ª³ ¤kh·
213.436	Horse	ªmra³	ªmra³	ÁÁma³/ÁÁm¿	££moq	ÁÁm¿	ÁÁmju	ÁÁmo		ªmju³
204.445	Hot	ÁÖlo³		°°la³	££laol			°°li?	°°Ôlu	°lu³
89.89	Hundred	Ára	Ára	°°ja	££yal	°°sjha	°°sjh¿	°°j¿
262.533	Hungry	ñmwat	¼mwat	ÁÁmäq	££meivq	ÁÁmäq	ÁÁmjäq	ÁÁmjäq	£Ámi	ÁmeÖ/ÁmjaÖ
149.311	Husks	÷pway	ªphway	ÁÁphy	££peeq	ÁÁphy	ÁÁphy	ÁÁphy		ªph·
78.11	I	Á³a	Á³a	°°³a	££ngal	°°³a	°°³u¿	°°³a	°°³¿	¤³o
170.396	Iron	Áxam	Ásam	°°sjhm	££saol	°°sjh¿	°°sjhi	°°sjhi	°°Æu	¤si³
265.562	Itch	îmtsik		££dzyq	££zziv	££dzyq	££tsúq	££tsúq	££ts½	£t·Ö
289.506	Join			ÁÁtsoq	££zuvq		ÁÁtjho	ÁÁtjhú,ÁÁtjhy
67.30	Keep	ªÖ+ta	ªtha	ÁÁtha	££taq	ÁÁtha		ÁÁth¿
256.536	Kill	ñsat	¼sat	ÁÁsäq	££seivq	ÁÁsäq	ÁÁsjäq	ÁÁsjyq		ÁsúÖ
44.294	Laugh	Áray	Áray	°°y	££eel	°°y	°°©y	°°sjhy		°Ö· °si
153.334	Lead			ÁÁsjhú	££seq	ÁÁsjhú	ÁÁsjhy	ÁÁshy
301.	Leaf	ñpak	¼phak	ÁÁpaq	££bavq	ÁÁpaq			°°a ªÁpha	ªÖa ªpha
79.13	Lend	ªs+³a	ªh³a	ÁÁ³a	££ngaq		ÁÁ³u¿
270.321	Leopard	ñk+zik	¼sac	ÁÁxha+£zy	££haqssiq	ÁÁxha-£zy			£Áxa £Áz½
81.84	Level	Ása		°°sha	££sal	°°sha			°°s¿
185.227	Lice	Áxan	ªsan	°°sjhä	££seil	°°shä	°°sjhi	°°sjhi		¤se
319.578	Lick	ñm+lyak	¼lyak	ÁÁmjúq	££mievq	££myq	ÁÁmj¿	ÁÁm¿q		ÁmjŒ³Ö
16.113	Lift	ªkyi	ªkhyi	ÁÁtjhi	££qiq	ÁÁtjhi				Átûhi
246.543	Lines of  hand			££k¿q	££gov/££koq	°°khy	°°khy
14.117	Liquor	Áji	Áse	°°dji	££zzil	°°dzy	°°tsy	°°tjy
54.56	Liquor			ÁÁba	££bbaq	ÁÁba	ÁÁpo	ÁÁp¿		¢tŒ °ph·
196.435	Long	Ámri³	Áhra~n	°°ma³	££mol	°°m¿	°°mu	°°mu	°°mu	°s·
223.275	Look	£ha³		££h¿/££xh¿	££hu	££fu	°°xhu
105.158	Look like			°°du	££ddul	°°du	°°tu	°°tu
60.43	Many	ªmya	ªmya	ÁÁmja	££miaq	ÁÁmja	ÁÁmo,ÁÁmjo	ÁÁm¿		Ámjo
132.254	Meal			°°bj¿	££bbiol	°°bo
84.81	Meat	ªxa	ªsa	ÁÁsjha	££saq	ÁÁsha	°°tsa	ÁÁsjh¿		ªÖŒ ªso
30.302	Melt			°°gy	££ggeel	°°gy		°°ji
20.366	Mo Br	ÁÖúri	ªri	££©Ùo	££hhyu	££©Ùo	££tji	££ki
278.510	Monkey	ñmyok	¼myok	ÁÁmjoq	££miuvq	ÁÁmyq	ÁÁmjoq	ÁÁmyq
136.236	Mosquito			ÁÁg¿	££ggoq	ÁÁgo	°°xhu ÁÁtju?	°°ji ÁÁkú?
59.61	Mother	Öú-£ma	£ma	££ma/££ma	££ma	££ma	££mo	££m¿		ªÖŒ ¢mo
355.220	Mucus			°°bä	££bbeil	°°bä	°°pi	°°pi		ªm ªpi
115.389	Mushroom	Ás+mo	ªhmui	°°hm/°°xhm	££aol		°°mi	°°mi		¢m °phŒ
195.426	Name	ÁÖ+myi³	Áma~n	°°mja³	££miaol	°°mi	°°mi	°°mi		ªm ¤mi
243.556	Needle	ñg+rap	¼Öap	ÁÁ©¿q	££hhovq	ÁÁ©oq			ªÁ©o	ªkúÖ
17.303	Nest			°°gy	££ggeel	°°gy	°°khy/°°tjhi	°°sjhi		¤kh·
269.568	New	ñÆik	¼sac	ÁÁsjyq	££sivq	ÁÁsjyq	ÁÁsjy	ÁÁsjy	ªÁÆ½	ªÖŒ Ás·Ö
126.367	Nine	ªgo	ªkÈui	££©Ùo	££hhyuq	££©Ùo, ÁÁ©o	ÁÁtji	ÁÁki		¤k·i
56.65	Not	ªma		ÁÁma	££maq	ÁÁma	ÁÁma	ÁÁma,ÁÁmo	£Ám¿	ªmŒ
361.567	Numb			££byq	££bbieiv	££bjäq	££pi	££pi
22.338	Old	ÁÖ+li		££Ùo	££yul	££Ùu	°°tji	°°ki		°li
212.272	Old	ªma³	ªma³	ÁÁm¿	££moq	ÁÁmo	ÁÁmu	ÁÁmu		°ma³Ö
8.123	One	ªdi	ªthi	ÁÁthi/ÁÁtiq	££qiq	ÁÁtjhi	ÁÁthy	ÁÁkhy		ªth·Ö /ªtho
228.429	Open	£pwa³	£phwa³, £pwa³	££pha³	££pao	££ph¿	££phy	££phu		£phu³/ £pjú³
133.242	Other			ÁÁtjh¿	££qoq	ÁÁtjho	ÁÁtsju	ÁÁtjhu		ªø ªtûho³
173.395	Otter	Ápyam	Áphyam	°°sjhm	££saol			°°sjhi
199.443	Owner			°°sha³	££saol		££sy	££sy
15.115	Paddyhouse	ÁÖ+gyi	Ákyi	°°dji	££jjil	°°dji	°°tjhi=ÁÁkh¿	°°tjhi=tsha³khu
157.	Pair		ÁÖúcum	°°dzm	££zzaol	°°dz¿
298.581	Peel off			ÁÁlúq	££levq	ÁÁhlúq	ÁÁk¿q?	ÁÁl¿q
182.237	Person	Átsan		°°tsh¿	££col	°°tsho	°°tshu	°°tjhu		¤tûho³
295.572	Pheasant	îk+rÙok	¼rac	ÁÁgúq	££ggevq	ÁÁgy		ÁÁk¿q
321.479	Pig	ñwak	¼wak	ÁÁzaq	££hhavq	ÁÁ©aq	ÁÁwa	ÁÁva		ªwa
